Line Number,Location path code,selection,source,word,menu,menu_ff,full_pattern,menu_pattern,button,menu_title,is_menu,menu_multiplicity,multiplicity,Training/ Spontaneous,Utterance: Single word or phrase,Type of Sign,is_match,match_type
139,,EXPERIENCE,MENU,,EXPERIENCE,EXPERIENCE,C,"",C,MAIN MENU,true,1,1,Trained,Single Word,Drawing,true,UNIQUE_MATCH
140,,TOUCH,FINAL,Touch,,EXPERIENCE,CD,C,D,EXPERIENCE,false,,1,Trained,Single Word,Abstract Sign,true,UNIQUE_MATCH
141,,TOUCH,FINAL,Touch,,EXPERIENCE,CD,C,D,EXPERIENCE,false,,1,Trained,Single Word,Abstract Sign,true,UNIQUE_MATCH
142,,TRACING,FINAL,Tracing,,EXPERIENCE,,,,,,,,,,,false,
145,,EXPERIENCE,MENU,,EXPERIENCE,EXPERIENCE,C,"",C,MAIN MENU,true,1,1,Trained,Single Word,Drawing,true,UNIQUE_MATCH
146,,MOM,FINAL,Mom,,EXPERIENCE,,,,,,,,,,,false,
147,,SEE,FINAL,See,,EXPERIENCE,CE,C,E,EXPERIENCE,false,,1,Trained,Single Word,Abstract Sign,true,UNIQUE_MATCH
148,,SEE,FINAL,See,,EXPERIENCE,CE,C,E,EXPERIENCE,false,,1,Trained,Single Word,Abstract Sign,true,UNIQUE_MATCH
149,,MOM,FINAL,Mom,,EXPERIENCE,,,,,,,,,,,false,
151,,SEE,FINAL,See,,EXPERIENCE,CE,C,E,EXPERIENCE,false,,1,Trained,Single Word,Abstract Sign,true,UNIQUE_MATCH
154,,TO PLAY,MENU,,TO PLAY,TO PLAY,D,"",D,MAIN MENU,true,1,1,Trained,Phrase,Drawing,true,UNIQUE_MATCH
155,,TRACING,FINAL,Tracing,,TO PLAY,,,,,,,,,,,false,
156,,WRITING,FINAL,Writing,,TO PLAY,DE,D,E,TO PLAY,false,,1,Trained,Single Word,Photo,true,UNIQUE_MATCH
158,,TO PLAY,MENU,,TO PLAY,TO PLAY,D,"",D,MAIN MENU,true,1,1,Trained,Phrase,Drawing,true,UNIQUE_MATCH
159,,BOOK,MENU,,BOOK,BOOK,DC,D,C,TO PLAY,true,1,1,Trained,Single Word,Drawing,true,UNIQUE_MATCH
160,,TOUCH AND FEEL,FINAL,Touch and feel,,BOOK,DCB,DC,B,BOOK,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
161,,TOUCH AND FEEL,FINAL,Touch and feel,,BOOK,DCB,DC,B,BOOK,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
164,,EXPERIENCE,MENU,,EXPERIENCE,EXPERIENCE,C,"",C,MAIN MENU,true,1,1,Trained,Single Word,Drawing,true,UNIQUE_MATCH
165,,MOM,FINAL,Mom,,EXPERIENCE,,,,,,,,,,,false,
166,,MOM,FINAL,Mom ,,EXPERIENCE,,,,,,,,,,,false,
167,,TOUCH,FINAL,Touch,,EXPERIENCE,CD,C,D,EXPERIENCE,false,,1,Trained,Single Word,Abstract Sign,true,UNIQUE_MATCH
168,,TOUCH,FINAL,Touch,,EXPERIENCE,CD,C,D,EXPERIENCE,false,,1,Trained,Single Word,Abstract Sign,true,UNIQUE_MATCH
169,,BOOK,MENU,,BOOK,BOOK,DC,D,C,TO PLAY,true,1,1,Trained,Single Word,Drawing,true,UNIQUE_MATCH
170,,TOUCH AND FEEL,FINAL,Touch and feel,,BOOK,DCB,DC,B,BOOK,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
171,,READING BOOK,MENU,,READING BOOK,READING BOOK,DCE,DC,E,BOOK,true,1,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
172,,SENTENCE BOOK,FINAL,Sentence book,,READING BOOK,DCEC,DCE,C,READING BOOK,false,,1,Trained,Phrase,Abstract Sign,true,UNIQUE_MATCH
173,,TOUCH AND FEEL,FINAL,Touch and feel,,READING BOOK,DCB,DC,B,BOOK,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
174,,THEME,MENU,,THEME,THEME,DCG,DC,G,BOOK,true,1,1,Generalized,Single Word,Drawing,true,UNIQUE_MATCH
175,,ANIMALS,MENU,,ANIMALS,ANIMALS,AD,A,D,TALK ABOUT,true,1,1,Trained - Repeated,Single Word,Drawing,true,UNIQUE_MATCH
177,,GAMES,MENU,,GAMES,GAMES,F,"",F,MAIN MENU,true,1,1,Trained - Repeated,Single Word,Drawing,true,UNIQUE_MATCH
179,,CARTOONS,MENU,,CARTOONS,CARTOONS,K,"",K,MAIN MENU,true,1,1,Trained,Single Word,Photo,true,UNIQUE_MATCH
180,,PEPPA PIG,FINAL,Peppa Pig,,CARTOONS,KB,K,B,CARTOONS,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
181,,PEPPA PIG,FINAL,Peppa Pig,,CARTOONS,KB,K,B,CARTOONS,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
183,,TALK ABOUT,MENU,,TALK ABOUT,TALK ABOUT,,,,,,,,,,,false,
184,,TEMP AND WEATHER,MENU,,TEMP AND WEATHER,TEMP AND WEATHER,AB,A,B,TALK ABOUT,true,1,1,Trained - Repeated,Phrase,Photo,true,UNIQUE_MATCH
185,,HOT,MENU,,HOT,HOT,ABC,AB,C,TEMP AND WEATHER,true,1,1,Trained,Single Word,Abstract Sign,true,UNIQUE_MATCH
186,,I FEEL HOT,FINAL,I feel hot,,HOT,ABCB,ABC,B,HOT,false,,1,Trained,Phrase,Drawing,true,UNIQUE_MATCH
187,,I FEEL HOT,FINAL,I feel hot,,HOT,ABCB,ABC,B,HOT,false,,1,Trained,Phrase,Drawing,true,UNIQUE_MATCH
188,,I WANT TO FEEL HOT,FINAL,I want to feel hot,,HOT,ABCD,ABC,D,HOT,false,,1,Trained,Phrase,Drawing,true,UNIQUE_MATCH
189,,HOT INSIDE,FINAL,Hot inside,,HOT,ABCE,ABC,E,HOT,false,,1,Generalized,Phrase,Photo,true,UNIQUE_MATCH
190,,HOT WIND BLOW DRYER,FINAL,Hot wind blow dryer,,HOT,ABCG,ABC,G,HOT,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
191,,HOT OUTSIDE,FINAL,Hot outside,,HOT,ABCF,ABC,F,HOT,false,,1,Generalized,Phrase,Photo,true,UNIQUE_MATCH
193,,SAY HELLO TO,MENU,,SAY HELLO TO,SAY HELLO TO,B,"",B,MAIN MENU,true,1,1,Trained,Phrase,Drawing,true,UNIQUE_MATCH
194,,BIRD FRIENDS,MENU,,BIRD FRIENDS,BIRD FRIENDS,BH,B,H,SAY HELLO TO,true,1,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
196,,"SKITTLES, SQUEE AND YAYA",FINAL,"Skittles, Squee and Yaya",,BIRD FRIENDS,BHD,BH,D,BIRD FRIENDS,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
199,,TO PLAY,MENU,,TO PLAY,TO PLAY,D,"",D,MAIN MENU,true,1,1,Trained,Phrase,Drawing,true,UNIQUE_MATCH
200,,TRACING,FINAL,Tracing,,TO PLAY,,,,,,,,,,,false,
201,,TRACING,FINAL,Tracing,,TO PLAY,,,,,,,,,,,false,
202,,SNUGGLE,FINAL,Snuggle,,TO PLAY,DB,D,B,TO PLAY,false,,1,Trained,Single Word,Drawing,true,UNIQUE_MATCH
203,,WRITING,FINAL,Writing,,TO PLAY,DE,D,E,TO PLAY,false,,1,Trained,Single Word,Photo,true,UNIQUE_MATCH
204,,SNUGGLE,FINAL,Snuggle,,TO PLAY,DB,D,B,TO PLAY,false,,1,Trained,Single Word,Drawing,true,UNIQUE_MATCH
205,,BOOK,MENU,,BOOK,BOOK,DC,D,C,TO PLAY,true,1,1,Trained,Single Word,Drawing,true,UNIQUE_MATCH
206,,TOUCH AND FEEL,FINAL,Touch and Feel,,BOOK,DCB,DC,B,BOOK,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
