Line Number,Location path code,selection,source,word,menu,menu_ff
439,,I FEEL HOT,FINAL,I feel hot,,HOT
440,,I FEEL HOT,FINAL,I feel hot,,HOT
441,,HOT,MENU,,HOT,HOT
442,,I FEEL HOT,FINAL,I feel hot,,HOT
443,,I WANT TO FEEL HOT,FINAL,I want to feel hot,,HOT
444,,I FEEL HOT,FINAL,I feel hot,,HOT
445,,EXPERIENCE,MENU,,EXPERIENCE,EXPERIENCE
446,,MOM,FINAL,Mom,,EXPERIENCE
447,,TALK ABOUT,MENU,,TALK ABOUT,TALK ABOUT
448,,FANTASY,MENU,,FANTASY,FANTASY
449,,DRAGON,FINAL,Dragon,,FANTASY
453,,TO EAT,MENU,,TO EAT,TO EAT
454,,MOM COOK DINNER,FINAL,Mom cook dinner,,TO EAT
455,,A PANCAKE,FINAL,A pancake,,TO EAT
456,,TO EAT,MENU,,TO EAT,TO EAT
457,,MOM COOK DINNER,FINAL,Mom cook dinner,,TO EAT
458,,COOK BREAKFAST,FINAL,Cook breakfast,,TO EAT
459,,COOK BREAKFAST,FINAL,Cook breakfast,,TO EAT
460,,MOM COOK DINNER,FINAL,Mom cook dinner,,TO EAT
461,,COOKING BREAKFAST,FINAL,Cooking breakfast,,TO EAT
464,,MOM COOK DINNER,FINAL,Mom cook dinner,,TO EAT
466,,SAY HELLO TO,MENU,,SAY HELLO TO,SAY HELLO TO
467,,BIRD FRIENDS,MENU,,BIRD FRIENDS,BIRD FRIENDS
468,,LITTLE LOU,FINAL,Little Lou,,BIRD FRIENDS
469,,"SKITTLES, SQUEE AND YAYA",FINAL,"Skittles, Squee and Yaya",,BIRD FRIENDS
470,,SKITTLES SQUEE AND YAYA,FINAL,Skittles Squee and Yaya,,BIRD FRIENDS
471,,SKITTLES SQUEE AND YAYA,FINAL,Skittles Squee and Yaya,,BIRD FRIENDS
472,,LITTLE LOU,FINAL,Little Lou,,BIRD FRIENDS
473,,SKITTLES SQUEE AND YAYA,FINAL,Skittles Squee and Yaya,,BIRD FRIENDS
474,,FEELING,MENU,,FEELING,FEELING
475,,SAD,FINAL,Sad,,FEELING
476,,HAPPY,FINAL,Happy,,FEELING
477,,MAD,FINAL,Mad,,FEELING
478,,HAPPY,FINAL,Happy,,FEELING
479,,HAPPY,FINAL,Happy,,FEELING
480,,HAPPY,FINAL,Happy,,FEELING
481,,EXCITED,FINAL,Excited,,FEELING
482,,EXCITED,FINAL,Excited,,FEELING
483,,EXCITED,FINAL,Excited,,FEELING
484,,HAPPY,FINAL,Happy,,FEELING
485,,EXCITED,FINAL,Excited,,FEELING
486,,HAPPY,FINAL,Happy,,FEELING
487,,TO PLAY,MENU,,TO PLAY,TO PLAY
488,,BOOK,MENU,,BOOK,BOOK
489,,SEASONAL,MENU,,SEASONAL,SEASONAL
490,,HALLOWEEN,FINAL,Halloween,,SEASONAL
491,,EASTER,FINAL,Easter,,SEASONAL
492,,EASTER,FINAL,Easter,,SEASONAL
493,,EASTER,FINAL,Easter,,SEASONAL
494,,HALLOWEEN,FINAL,Halloween,,SEASONAL
