Line Number,Location path code,selection,source,word,menu,menu_ff
2861,,TRACING AND WRITING,MENU,,TRACING AND WRITING,TRACING AND WRITING
2862,,FREE WRITING PRACTICE,FINAL,Free writing practice,,TRACING AND WRITING
2868,,DESCRIPTIONS AND PREFERENCES,MENU,,DESCRIPTIONS AND PREFERENCES,DESCRIPTIONS AND PREFERENCES
2869,,FIX PLEASE,MENU,,FIX PLEASE,FIX PLEASE
2870,,BLUE,FINAL,Blue,,FIX PLEASE
2871,,FIX,FINAL,Fix,,FIX PLEASE
2872,,BLUE,FINAL,Blue,,FIX PLEASE
2873,,TABLET,FINAL,Tablet,,FIX PLEASE
2874,,TABLET,FINAL,Tablet,,FIX PLEASE
2875,,ELLIE,FINAL,Ellie,,FIX PLEASE
2877,,BLUE,FINAL,Blue,,FIX PLEASE
2878,,BROWN,FINAL,Brown,,FIX PLEASE
2879,,BROWN,FINAL,Brown,,FIX PLEASE
2880,,BLUE,FINAL,Blue,,FIX PLEASE
2881,,WHITE,FINAL,White,,FIX PLEASE
2882,,HIGH UP,FINAL,High up,,FIX PLEASE
2885,,ENTERTAINMENT,MENU,,ENTERTAINMENT,ENTERTAINMENT
2888,,BODY,MENU,,BODY,BODY
2889,,ISABELLE,FINAL,Isabelle,,BODY
2890,,TILLIE,FINAL,Tillie,,BODY
2891,,ISABELLE,FINAL,Isabelle,,BODY
2892,,TILLIE,FINAL,Tillie,,BODY
2893,,ISABELLE,FINAL,Isabelle,,BODY
2894,,ELLIE,FINAL,Ellie,,BODY
2895,,LIKE,FINAL,Like,,BODY
2896,,NO LIKE,FINAL,No like,,BODY
2897,,NO LIKE,FINAL,No like,,BODY
2898,,NO LIKE,FINAL,No like,,BODY
2899,,ELLIE,FINAL,Ellie,,BODY
2900,,TILLIE,FINAL,Tillie,,BODY
2901,,NO LIKE,FINAL,No like,,BODY
2902,,NO LIKE,FINAL,No like,,BODY
2903,,OUCH,FINAL,Ouch,,BODY
2904,,LIKE,FINAL,Like,,BODY
2905,,LIKE,FINAL,Like,,BODY
2913,,DESCRIPTIONS AND PREFERENCES,MENU,,DESCRIPTIONS AND PREFERENCES,DESCRIPTIONS AND PREFERENCES
2914,,MOVEMENT,MENU,,MOVEMENT,MOVEMENT
2915,,JUMP,FINAL,Jump,,MOVEMENT
2916,,ELLIE,FINAL,Ellie,,MOVEMENT
2917,,LIKE,FINAL,Like,,MOVEMENT
2918,,LIKE,FINAL,Like,,MOVEMENT
2919,,LIKE,FINAL,Like,,MOVEMENT
2920,,NO LIKE,FINAL,No like,,MOVEMENT
2921,,NO LIKE,FINAL,No like,,MOVEMENT
2922,,MOM,FINAL,Mom,,MOVEMENT
2923,,SLOW,FINAL,Slow,,MOVEMENT
2924,,FAST,FINAL,Fast,,MOVEMENT
2925,,SWIM,FINAL,Swim,,MOVEMENT
2926,,MOM,FINAL,Mom,,MOVEMENT
2927,,RUN,FINAL,Run,,MOVEMENT
2928,,SLOW,FINAL,Slow,,MOVEMENT
2929,,LIKE,FINAL,Like,,MOVEMENT
2930,,SLOW,FINAL,Slow,,MOVEMENT
2931,,RUN,FINAL,Run,,MOVEMENT
2932,,JUMP,FINAL,Jump ,,MOVEMENT
2933,,SLOW,FINAL,Slow,,MOVEMENT
2934,,JUMP,FINAL,Jump,,MOVEMENT
2935,,SLOW,FINAL,Slow,,MOVEMENT
2936,,SLOW,FINAL,Slow,,MOVEMENT
2937,,MOM,FINAL,Mom,,MOVEMENT
2938,,RUN,FINAL,Run,,MOVEMENT
2939,,LIKE,FINAL,Like,,MOVEMENT
2940,,LIKE,FINAL,Like,,MOVEMENT
2941,,LIKE,FINAL,Like,,MOVEMENT
2942,,SLOW,FINAL,Slow,,MOVEMENT
2943,,ISABELLE,FINAL,Isabelle,,MOVEMENT
2944,,ELLIE,FINAL,Ellie,,MOVEMENT
2945,,TILLIE,FINAL,Tillie,,MOVEMENT
2946,,SWIM,FINAL,Swim,,MOVEMENT
2947,,SWIM,FINAL,Swim,,MOVEMENT
2948,,TILLIE,FINAL,Tillie,,MOVEMENT
2949,,MOM,FINAL,Mom,,MOVEMENT
2950,,MOM,FINAL,Mom,,MOVEMENT
2951,,ENTERTAINMENT,MENU,,ENTERTAINMENT,ENTERTAINMENT
2952,,ALEXA PLAY GEORGE WINSTON,FINAL,Alexa play George Winston,,ENTERTAINMENT
2953,,ALEXA PLAY GEORGE WINSTON,FINAL,Alexa play George Winston,,ENTERTAINMENT
2954,,ALEXA PLAY VIVALDI ON PANDORA,FINAL,Alexa play Vivaldi on Pandora,,ENTERTAINMENT
2955,,ALEXA PLAY VIVALDI ON PANDORA,FINAL,Alexa play Vivaldi on Pandora,,ENTERTAINMENT
2956,,ALEXA PLAY GEORGE WINSTON,FINAL,Alexa play George Winston,,ENTERTAINMENT
