,Line Number,Location path code,L1,L2,L3,L4,L5,Category,Training/ Spontaneous,How Discovered?,Utterance: Single word or phrase,Type of Sign,Type of Sign 2,,,,,absolute X,absolute Y,relative X,relative Y,Notes,# boxes on screen,"Cori's double check - yellow are different, white are still the same"
79,79,EK,E         Feeling,EK    Afraid,,,,Self/State,Trained,,Single Word,Drawing,Not-Iconic,,,,,2,-1,2,-1,,12,12
80,80,EL,E         Feeling,EL    Sad,,,,Self/State,Trained,,Single Word,Drawing,Not-Iconic,,,,,3,-1,3,-1,,12,12
81,81,FB,F         Games,FB    Connect the Dots,,,,Socio-Cognitive,Trained,,Phrase,Photo,Iconic,,,,,-2,1,-2,1,,12,12
82,82,FD,F         Games,FD   Balloon Pop,,,,Socio-Cognitive,Trained,,Phrase,Photo,Iconic,,,,,1,1,1,1,,12,12
83,83,FF,F         Games,FF    Music,,,,Socio-Cognitive,Trained,,Single Word,Photo,Iconic,,,,,3,1,3,1,,12,12
84,84,FG,F         Games,FG   Number Match,,,,Socio-Cognitive,Trained,,Phrase,Photo,Iconic,,,,,-3,-1,-3,-1,,12,12
85,85,FH,F         Games,FH   Matching Game,,,,Socio-Cognitive,Trained,,Phrase,Photo,Iconic,,,,,-2,-1,-2,-1,,12,12
86,86,FI,F         Games,FI      Which One?,,,,Socio-Cognitive,Trained,,Phrase,Photo,Iconic,,,,,-1,-1,-1,-1,,12,12
87,87,FJ,F         Games,FJ     Puzzle,,,,Socio-Cognitive,Trained,,Single Word,Photo,Iconic,,,,,1,-1,1,-1,,12,12
88,88,FK,F         Games,FK    Coloring,,,,Socio-Cognitive,Trained,,Single Word,Photo,Iconic,,,,,2,-1,2,-1,,12,12
89,89,FL,F         Games,FL     Baby Unicorn,,,,Socio-Cognitive,Trained,,Phrase,Photo,Iconic,,,,,3,-1,3,-1,,12,12
90,90,G,G        To eat,,,,,Navigation,Trained,,Phrase,Drawing,Iconic,,,,,-3,-1,-3,-1,,12,12
91,91,GB,G        To eat,GB  A Toast,,,,Resources,Trained,,Phrase,Photo,Iconic,,,,,-2,1,-2,1,,12,12
92,92,GC,G        To eat,GC  Eggs,,,,Resources,Trained,,Single Word,Photo,Iconic,,,,,-1,1,-1,1,,12,12
93,93,GD,G        To eat,GD  Chop,,,,Resources,Trained,,Single Word,Photo,Not-Iconic,,,,,1,1,1,1,,12,12
94,94,GF,G        To eat,GF   An Apple,,,,Resources,Trained,,Phrase,Photo,Iconic,,,,,3,1,3,1,,12,12
95,95,GI,G        To eat,GI     A pancake,,,,Resources,Trained,,Phrase,Photo,Iconic,,,,,-1,-1,-1,-1,,12,12
96,96,GJ,G        To eat,GJ    Spaghetti,,,,Resources,Trained,,Single Word,Photo,Iconic,,,,,1,-1,1,-1,,12,12
97,97,GK,G        To eat,GK   A banana,,,,Resources,Trained,,Phrase,Photo,Iconic,,,,,2,-1,2,-1,,12,12
98,98,GL,G        To eat,GL   Tofu,,,,Resources,Trained,,Single Word,Photo,Iconic,,,,,3,-1,3,-1,,12,12
99,99,H,H        To drink,,,,,Navigation,Trained,,Phrase,Drawing,Iconic,,,,,-2,-1,-2,-1,,12,12
100,100,HB,H        To drink,HB  Water,,,,Resources,Trained,,Single Word,Photo,Iconic,,,,,-2,1,-1,0,,4,4
101,101,HC,H        To drink,HC   Tea,,,,Resources,Trained,,Single Word,Photo,Iconic,,,,,-1,1,1,0,,4,4
102,102,HD,H        To drink,HD  Juice,,,,Resources,Trained,,Single Word,Photo,Iconic,,,,,1,1,2,0,,4,4
103,103,I,I           Places,,,,,Navigation,Trained,,Single Word,Photo,Iconic,,,,,-1,2,-1,2,,12,12
104,104,IB,I           Places,IB     Isabelle’s House,,,,Space-Temporal,Trained,,Phrase,Photo,Iconic,,,,,-2,1,-2,0,,6,6
105,105,IC,I           Places,IC     Sofa Basket,,,,Space-Temporal,Trained,,Phrase,Photo,Iconic,,,,,-1,1,-1,0,,6,6
106,106,ID,I           Places,ID     Cage Tablet,,,,Space-Temporal,Trained,,Phrase,Photo,Iconic,,,,,1,1,1,0,,6,6
107,107,IF,I           Places,IF      Play Stand,,,,Space-Temporal,Trained,,Phrase,Photo,Iconic,,,,,3,1,3,0,,6,6
108,108,J,J          Music,,,,,Navigation,Trained,,Single Word,Drawing,Not-Iconic,,,,,1,2,1,2,,12,12
109,109,JB,J          Music,JB     Bach & Vivaldi,,,,Resources,Trained,,Phrase,Drawing,Not-Iconic,,,,,-2,1,-2,1,,7,7
110,110,JC,J          Music,JC     Piano,,,,Resources,Trained,,Single Word,Drawing,Iconic,,,,,-1,1,-1,1,,7,7
111,111,JD,J          Music,JD    Violin,,,,Resources,Trained,,Single Word,Drawing,Iconic,,,,,1,1,1,1,,7,7
112,112,JE,J          Music,JE     Dance,,,,Resources,Trained,,Single Word,Photo,Not-Iconic,,,,,2,1,2,1,,7,7
113,113,JF,J          Music,JF     Oldies,,,,Resources,Trained,,Single Word,Photo,Not-Iconic,,,,,3,1,3,1,,7,7
114,114,JG,J          Music,JG    Beethoven & Dvorak,,,,Resources,Trained,,Phrase,Drawing,Not-Iconic,,,,,-3,-1,-3,-1,,7,7
115,115,K,K         Cartoons,,,,,Navigation,Trained,,Single Word,Photo,Iconic,,,,,2,-1,2,-1,,12,12
116,116,KB,K         Cartoons,KB   Peppa Pig,,,,Resources,Trained,,Phrase,Photo,Iconic,,,,,-2,1,-1,0,,9,9
117,117,KC,K         Cartoons,KC   Cloudbabies,,,,Resources,Trained,,Single Word,Photo,Iconic,,,,,-1,1,1,0,,9,9
118,118,KD,K         Cartoons,KD   Tom and Jerry,,,,Resources,Trained,,Phrase,Photo,Iconic,,,,,1,1,2,0,,9,9
119,119,KEB,K         Cartoons,KE    Seasonal,KEB       Winter,,,Resources,Trained,,Single Word,Photo,Not-Iconic,,,,,-2,1,-1,0,,5,5
120,120,KEC,K         Cartoons,KE    Seasonal,KEC        Fall,,,Resources,Trained,,Single Word,Photo,Not-Iconic,,,,,-1,1,0,0,,5,5
121,121,KED,K         Cartoons,KE    Seasonal,KED       Spring,,,Resources,Trained,,Single Word,Photo,Not-Iconic,,,,,1,1,1,0,,5,5
122,122,KEE,K         Cartoons,KE    Seasonal,KEE Summer,,,Resources,Trained,,Single Word,Photo,Not-Iconic,,,,,2,1,2,0,,5,5
123,123,KH,K         Cartoons,KH   Katuri,,,,Resources,Trained,,Single Word,Photo,Iconic,,,,,-2,-1,-2,-1,,9,9
124,124,KI,K         Cartoons,KI     Little Kingdom,,,,Resources,Trained,,Phrase,Photo,Iconic,,,,,-1,-1,-1,-1,,9,9
125,125,L,L         Treats,,,,,Navigation,Trained,,Single Word,Photo,Iconic,,,,,3,-1,3,-1,,12,12
126,126,LB,L         Treats,LB    Sunflower Seeds,,,,Resources,Trained,,Phrase,Photo,Iconic,,,,,-2,1,-2,1,,7,7
127,127,LC,L         Treats,LC    Nuts,,,,Resources,Trained,,Single Word,Photo,Iconic,,,,,-1,1,-1,1,,7,7
128,128,LD,L         Treats,LD   Seed  Ball,,,,Resources,Trained,,Phrase,Photo,Iconic,,,,,1,1,1,1,,7,7
129,129,LE,L         Treats,LE    Mango,,,,Resources,Trained,,Single Word,Photo,Iconic,,,,,2,1,2,1,,7,7
130,130,LF,L         Treats,LF     Medicine,,,,Resources,Trained,,Single Word,Abstract Sign,Not-Iconic,,,,,3,1,3,1,,7,7
131,131,LG,L         Treats,LG   Almond,,,,Resources,Trained,,Single Word,Photo,Iconic,,,,,-3,-1,-3,-1,,7,7
132,132,A,A        Talk about,,,,,Navigation,Trained - Repeated,,Phrase,Abstract Sign,Not-Iconic,,,,,-3,1,-3,1,,12,12
133,133,AA,A        Talk about,AA   Back,,,,Navigation,Trained - Repeated,,Single Word,Abstract Sign,Not-Iconic,,,,,-3,1,-3,1,,12,10
134,134,AB,A        Talk about,AB   Temp and Weather,,,,Navigation,Trained - Repeated,,Phrase,Photo,Not-Iconic,,,,,-2,1,-2,1,prev y=0,7,10
135,135,ABA,A        Talk about,AB   Temp and Weather,ABA      Back,,,Navigation,Trained - Repeated,,Single Word,Abstract Sign,Not-Iconic,,,,,-3,1,-3,1,prev y=0,6,12
136,136,ABCA,A        Talk about,AB   Temp and Weather,ABC       Hot,ABCA             Back,,Navigation,Trained - Repeated,,Single Word,Abstract Sign,Not-Iconic,,,,,-3,1,-3,1,,7,7
137,137,ABDA,A        Talk about,AB   Temp and Weather,ABD      Warm,ABDA            Back,,Navigation,Trained - Repeated,,Single Word,Abstract Sign,Not-Iconic,,,,,-3,1,-3,0,,6,6
138,138,ABEA,A        Talk about,AB   Temp and Weather,ABE       Cool,ABEA             Back,,Navigation,Trained - Repeated,,Single Word,Abstract Sign,Not-Iconic,,,,,-3,1,-3,0,,6,6
139,139,ABFA,A        Talk about,AB   Temp and Weather,ABF       Cold,ABFA             Back,,Navigation,Trained - Repeated,,Single Word,Abstract Sign,Not-Iconic,,,,,-3,1,-3,1,,7,7
140,140,AC,A        Talk about,AC   Fantasy,,,,Navigation,Trained - Repeated,,Single Word,Drawing,Not-Iconic,,,,,-1,1,-1,1,,9,10
141,141,ACA,A        Talk about,AC   Fantasy,ACA      Back,,,Navigation,Trained - Repeated,,Single Word,Abstract Sign,Not-Iconic,,,,,-3,1,-2,1,,5,5
142,142,ACB,A        Talk about,AC   Fantasy,ACB       Dragon,,,Socio-Cognitive,Trained - Repeated,,Single Word,Drawing,Not-Iconic,,,,,-2,1,-1,1,,5,5
143,143,ACD,A        Talk about,AC   Fantasy,ACD      Unicorn,,,Socio-Cognitive,Trained - Repeated,,Single Word,Drawing,Not-Iconic,,,,,1,1,1,1,,5,5
144,144,ACE,A        Talk about,AC   Fantasy,ACE       Fairy,,,Socio-Cognitive,Trained - Repeated,,Single Word,Drawing,Not-Iconic,,,,,2,1,2,1,,5,5
145,145,AD,A        Talk about,AD  Animals,,,,Navigation,Trained - Repeated,,Single Word,Drawing,Not-Iconic,,,,,1,1,1,1,,9,10
